report_date,location,data_field,value
2016-03-30,Ecuador,total_zika_suspected_cumulative,76
2016-03-30,Ecuador-Sucumbios,total_zika_suspected_cumulative,1
2016-03-30,Ecuador-Santo_Domingo_de_los_Tsachilas,total_zika_suspected_cumulative,1
2016-03-30,Ecuador-Santa_Elena,total_zika_suspected_cumulative,8
2016-03-30,Ecuador-Pichincha,total_zika_suspected_cumulative,19
2016-03-30,Ecuador-Orellana,total_zika_suspected_cumulative,1
2016-03-30,Ecuador-Manabi,total_zika_suspected_cumulative,9
2016-03-30,Ecuador-Los_Rios,total_zika_suspected_cumulative,5
2016-03-30,Ecuador-Guayas,total_zika_suspected_cumulative,8
2016-03-30,Ecuador-Galapagos,total_zika_suspected_cumulative,4
2016-03-30,Ecuador-Esmeraldas,total_zika_suspected_cumulative,11
2016-03-30,Ecuador-El_Oro,total_zika_suspected_cumulative,1
2016-03-30,Ecuador-Cotopaxi,total_zika_suspected_cumulative,2
2016-03-30,Ecuador-Bolivar,total_zika_suspected_cumulative,6
2016-03-30,Ecuador,total_zika_confirmed_cumulative,89
2016-03-30,Ecuador-Azuay-Cuenca,total_zika_confirmed_autochthonous,1
2016-03-30,Ecuador-El_Oro-Machala,total_zika_confirmed_autochthonous,2
2016-03-30,Ecuador-El_Oro-Pasaje,total_zika_confirmed_autochthonous,1
2016-03-30,Ecuador-Esmeraldas-Esmeraldas,total_zika_confirmed_autochthonous,2
2016-03-30,Ecuador-Galapagos-Santa_Cruz,total_zika_confirmed_autochthonous,2
2016-03-30,Ecuador-Guayas-Daule,total_zika_confirmed_autochthonous,1
2016-03-30,Ecuador-Guayas-General_Antonio_Elizalde,total_zika_confirmed_autochthonous,1
2016-03-30,Ecuador-Guayas-Guayaquil,total_zika_confirmed_autochthonous,15
2016-03-30,Ecuador-Los_Rios-Buena_Fe,total_zika_confirmed_autochthonous,2
2016-03-30,Ecuador-Los_Rios-Quevedo,total_zika_confirmed_autochthonous,1
2016-03-30,Ecuador-Los_Rios-Ventanas,total_zika_confirmed_autochthonous,6
2016-03-30,Ecuador-Manabi-Manta,total_zika_confirmed_autochthonous,1
2016-03-30,Ecuador-Manabi-Pedernales,total_zika_confirmed_autochthonous,1
2016-03-30,Ecuador-Manabi-Portoviejo,total_zika_confirmed_autochthonous,20
2016-03-30,Ecuador-Manabi-Rocafuerte,total_zika_confirmed_autochthonous,1
2016-03-30,Ecuador-Orellana_Joya_de_los_Sachas,total_zika_confirmed_autochthonous,1
2016-03-30,Ecuador-Pichincha-Mejia,total_zika_confirmed_autochthonous,1
2016-03-30,Ecuador-Pichincha-Quito,total_zika_confirmed_autochthonous,6
2016-03-30,Ecuador-Santo_Domingo_de_los_Tsachilas-La_Concordia,total_zika_confirmed_autochthonous,2
2016-03-30,Ecuador-Santo_Domingo_de_los_Tsachilas-Santo_Domingo,total_zika_confirmed_autochthonous,1
2016-03-30,Ecuador-Sucumbios-Shushufindi,total_zika_confirmed_autochthonous,1
2016-03-30,Ecuador-Chimborazo-Chunchi,total_zika_confirmed_imported,1
2016-03-30,Ecuador-Guayas-Guayaquil,total_zika_confirmed_imported,1
2016-03-30,Ecuador-Los_Rios-Vinces,total_zika_confirmed_imported,1
2016-03-30,Ecuador-Manabi-Manta,total_zika_confirmed_imported,1
2016-03-30,Ecuador-Manabi-Portoviejo,total_zika_confirmed_imported,1
2016-03-30,Ecuador-Pichincha-Quito,total_zika_confirmed_imported,14
2016-03-30,Ecuador-Santo_Domingo_de_los_Tsachilas-Santo_Domingo,total_zika_confirmed_imported,1
2016-03-30,Ecuador,total_zika_confirmed_pregnant,6
2016-03-30,Ecuador-Los_Rios,total_zika_confirmed_pregnant,4
2016-03-30,Ecuador-Galapagos,total_zika_confirmed_pregnant,1
2016-03-30,Ecuador-Pichincha,total_zika_confirmed_pregnant,1
2016-03-30,Ecuador,total_zika_confirmed_ages_0-11mo_F,1
2016-03-30,Ecuador,total_zika_confirmed_ages_0-11mo_M,0
2016-03-30,Ecuador,total_zika_confirmed_ages_1-4yrs_F,3
2016-03-30,Ecuador,total_zika_confirmed_ages_1-4yrs_M,6
2016-03-30,Ecuador,total_zika_confirmed_ages_5-9yrs_F,0
2016-03-30,Ecuador,total_zika_confirmed_ages_5-9yrs_M,5
2016-03-30,Ecuador,total_zika_confirmed_ages_10-14yrs_F,7
2016-03-30,Ecuador,total_zika_confirmed_ages_10-14yrs_M,4
2016-03-30,Ecuador,total_zika_confirmed_ages_15-19yrs_F,5
